,Loc,Loc_Name,Loc Purp Desc,Loc/QTI,DC,Operating_Capacity,Total_Scheduled_Quantity,OAC,Loc_Zn,IT,Flow_Ind_Desc,State,County,Operator,OBA,G/T,Miles,EGM,Flw Cntl,All Qty Avail,Qty Reason,Cycle_Desc,Eff_Gas_Day,TSP
101,81717   ,TETCO (BEAUREGARD PARISH) ,Delivery Location,DPQ,250000,0,0,0,FLD     ,N,D,LA      ,BEAUREGARD,"Texas Eastern Transmission, LP",Y,T,-10,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
102,81718   ,LAKESIDE - NGPL,Receipt Location,RPQ,500000,500000,68,499932,FLD     ,Y,R,LA      ,CAMERON,Natural Gas Pipeline Company of America,Y,T,-48,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
103,81720   ,OLLA - GULF SOUTH,Receipt Location,RPQ,700000,700000,49114,650886,Z1A     ,Y,R,LA      ,LA SALLE,"Gulf South Pipeline Company, L.P.",Y,T,104,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
104,81720   ,OLLA - GULF SOUTH,Delivery Location,DPQ,700000,700000,0,700000,Z1A     ,Y,D,LA      ,LA SALLE,"Gulf South Pipeline Company, L.P.",Y,T,104,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
105,81722   ,COLUMBIA GULF TRANSMISSION @ CENTERVILLE,Delivery Location,DPQ,380000,295000,1,294999,FLD     ,N,D,LA      ,ST MARY,"Columbia Gulf Transmission, LLC",Y,T,-133,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
106,81738   ,SOUTHERN NATURAL @ SHADYSIDE,Delivery Location,DPQ,315000,200000,25414,174586,FLD     ,Y,D,LA      ,ST MARY,"Southern Natural Gas Company, L.L.C.",Y,T,-135,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
107,81749   ,TRUNKLINE / KATY - ATMOS ENERGY ,Receipt Location,RPQ,145000,145000,1,144999,FLD     ,Y,R,TX      ,WALLER,Atmos Energy Corporation,Y,T,-172,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
108,82010   ,ATMOS ENERGY,Delivery Location,DPQ,200,200,0,200,Z1A     ,N,D,LA      ,WEST CARROLL,Atmos Energy Corporation,N,T,204,N,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
109,82030   ,VALERO MKS LOGISTICS,Delivery Location,DPQ,1500,1500,0,1500,Z1A     ,N,D,MS      ,MARSHALL,"Valero MKS Logistics, L.L.C.",N,T,375,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
110,82032   ,"CITY OF SPLENDORA, TX",Delivery Location,DPQ,1000,1000,90,910,FLD     ,N,D,TX      ,MONTGOMERY,"Symmetry Energy Solutions, LLC",N,T,-119,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
